paper,year,month,title,author
16972,2011,April,Discount Rates,['John H Cochrane']
16973,2011,April,The Effect of Education on Religion: Evidence from Compulsory Schooling Laws,['Daniel M Hungerman']
16974,2011,April,What Do Consumers Believe About Future Gasoline Prices?,"['James M Sallee', 'Ryan Kellogg', 'Soren T Anderson']"
16975,2011,April,Dissecting the Effect of Credit Supply on Trade: Evidence from Matched Credit-Export Data,"['Daniel Paravisini', 'Daniel Wolfenzon', 'Philipp Schnabl', 'Veronica Rappoport']"
16976,2011,April,Stock Volatility During the Recent Financial Crisis,['G William Schwert']
16977,2011,April,How does Risk Selection Respond to Risk Adjustment? Evidence from the Medicare Advantage Program,"['Ilyana Kuziemko', 'Jason Brown', 'Mark G Duggan', 'William Woolston']"
16978,2011,April,The Demand for Health Insurance Among Uninsured Americans: Results of a Survey Experiment and Implications for Policy,"['Alan B Krueger', 'Ilyana Kuziemko']"
16979,2011,April,Bank Finance Versus Bond Finance,"['Fiorella De Fiore', 'Harald Uhlig']"
16980,2011,April,"Funding Scientific Knowledge: Selection, Disclosure and the Public-Private Portfolio","['Fiona E Murray', 'Joshua S Gans']"
16981,2011,April,A Test of Racial Bias in Capital Sentencing,"['Alberto F Alesina', 'Eliana La Ferrara']"
16982,2011,April,Systemic Sovereign Credit Risk: Lessons from the U.S. and Europe,"['Andrew Ang', 'Francis A Longstaff']"
16983,2011,April,Did Plant Patents Create the American Rose?,"['Paul W Rhode', 'Petra Moser']"
16984,2011,April,Diversity and Technological Progress,['Daron Acemoglu']
16985,2011,April,Drowning or Weathering the Storm? Changes in Family Finances from 2007 to 2009,"['Arthur Kennickell', 'Brian K Bucks', 'Jesse Bricker', 'Kevin Moore', 'Traci L Mach']"
16986,2011,April,Employment in Black Urban Labor Markets: Problems and Solutions,"['David Neumark', 'Judith K Hellerstein']"
16987,2011,April,The Cost of Fuel Economy in the Indian Passenger Vehicle Market,"['Maureen L Cropper', 'Randy Chugh', 'Urvashi Narain']"
16988,2011,April,Intertemporal Price Discrimination in Storable Goods Markets,"['Aviv Nevo', 'Igal Hendel']"
16989,2011,May,Cross-border media and nationalism: Evidence from Serbian radio in Croatia,"['Ekaterina Zhuravskaya', 'Maria Petrova', 'Ruben Enikolopov', 'Stefano DellaVigna', 'Vera Mironova']"
16990,2011,April,The Pragmatist's Guide to Comparative Effectiveness Research,"['Amitabh Chandra', 'Anupam B Jena', 'Jonathan S Skinner']"
16991,2011,April,Pensions in the 2000s: the Lost Decade?,['Edward N Wolff']
16992,2011,April,"China's Rising Demand for ""Green Cities"": Evidence from Cross-City Real Estate Price Hedonics","['Jing Cao', 'Matthew E Kahn', 'Siqi Zheng']"
16993,2011,April,The Rate and Direction of Invention in the British Industrial Revolution: Incentives and Institutions,"['Joel Mokyr', 'Ralf R Meisenzahl']"
16994,2011,April,"Illiquid Banks, Financial Stability, and Interest Rate Policy","['Douglas W Diamond', 'Raghuram G Rajan']"
16995,2011,April,Cash Holdings and Credit Risk,"['Ilya A Strebulaev', 'Sergei A Davydenko', 'Viral V Acharya']"
16996,2011,April,Shocks and Crashes,"['Martin Lettau', 'Sydney C Ludvigson']"
16997,2011,April,Quantile Regression with Censoring and Endogeneity,"['Amanda E Kowalski', 'Ivan Fernandez-Val', 'Victor Chernozhukov']"
16998,2011,April,Systemic Risks and the Macroeconomy,"['Gianni De Nicolo', 'Marcella Lucchetta']"
16999,2011,April,Household Debt and Saving During the 2007 Recession,"['Basit Zafar', 'Donghoon Lee', 'Rajashri Chakrabarti', 'Wilbert Van der Klaauw']"
17000,2011,April,Counterparty Risk Externality: Centralized Versus Over-the-counter Markets,"['Alberto Bisin', 'Viral V Acharya']"
17001,2011,April,Negative Leakage,"['Daniel H Karney', 'Don Fullterton', 'Kathy Baylis']"
17002,2011,April,Does Government Investment in Local Public Goods Spur Gentrification? Evidence from Beijing,"['Matthew E Kahn', 'Siqi Zheng']"
17003,2011,April,"Terms of Trade and Global Efficiency Effects of Free Trade Agreements, 1990-2002","['James E Anderson', 'Yoto V Yotov']"
17004,2011,April,The Impact of Pollution on Worker Productivity,"['Joshua S Graff Zivin', 'Matthew J Neidell']"
17005,2011,May,Should Central Banks Raise their Inflation Targets? Some Relevant Issues,['Bennett T McCallum']
17006,2011,May,Durable Financial Regulation: Monitoring Financial Instruments as a Counterpart to Regulating Financial Institutions,['Leonard I Nakamura']
17007,2011,May,Continuous Workout Mortgages,"['M Shahid Ebrahim', 'Mark B Shackleton', 'Rafal M Wojakowski', 'Robert J Shiller']"
17008,2011,May,Sustainability and its Measurement,['Geoffrey Heal']
17009,2011,May,Estimates of Crowd-Out from a Public Health Insurance Expansion Using Administrative Data,"['Daphne Kuo', 'Donna Friedsam', 'Kristen Voskuil', 'Laura Dague', 'Lindsey Leininger', 'Sarah Meier', 'Thomas C DeLeire']"
17010,2011,May,Legal Investor Protection and Takeovers,"['Denis Gromb', 'Fausto Panunzi', 'Holger M Mueller', 'Mike Burkart']"
17011,2011,May,Can Medical Progress be Sustained? Implications of the Link Between Development and Output Markets,"['Anup Malani', 'Tomas J Philipson']"
17012,2011,May,Reshaping Institutions: Evidence on Aid Impacts Using a Pre-Analysis Plan,"['Edward Miguel', 'Katherine Casey', 'Rachel Glennerster']"
17013,2011,May,The Organization of R&D in American Corporations: The Determinants and Consequences of Decentralization,"['Ashish Arora', 'Luis A Rios', 'Sharon Belenzon']"
17014,2011,May,Managing Self-Confidence: Theory and Experimental Evidence,"['Markus M Mobius', 'Muriel Niederle', 'Paul Niehaus', 'Tanya S Rosenblat']"
17015,2011,May,A Matter of Trust: Understanding Worldwide Public Pension Conversions,"['Kent A Smetters', 'Walter E Theseira']"
17016,2011,May,"Socioeconomic Status in Childhood and Health After Age 70: A New Longitudinal Analysis for the U.S., 1895-2005","['Joseph P Ferrie', 'Karen Rolf']"
17017,2011,May,Public Goods Agreements with Other-Regarding Preferences,['Charles D Kolstad']
17018,2011,May,Framing Effects and Expected Social Security Claiming Behavior,"['Arie Kapteyn', 'Jeffrey R Brown', 'Olivia S Mitchell']"
17019,2011,May,The Value of Secure Property Rights: Evidence from Global Fisheries,"['Christopher J Costello', 'Corbett A Grainger']"
17020,2011,May,Remembering to Pay? Reminders vs. Financial Incentives for Loan Payments,"['Antoinetter Schoar', 'Ximena Cadena']"
17021,2011,May,Credit Spreads and Business Cycle Fluctuations,"['Egon Zakrajsek', 'Simon Gilchrist']"
17022,2011,May,The Quantification of Systemic Risk and Stability: New Methods and Measures,['Romney B Duffey']
17023,2011,May,The Role of Skill Versus Luck in Poker: Evidence from the World Series of Poker,"['Steven D Levitt', 'Thomas J Miles']"
17024,2011,May,Historical Evidence on the Finance-Trade-Growth Nexus,"['Michael D Bordo', 'Peter L Rousseau']"
17025,2011,May,Optimal Portfolio Choice with Wage-Indexed Social Security,"['Jialun Li', 'Kent A Smetters']"
17026,2011,May,Credit Risk and Disaster Risk,['Francois Gourio']
17027,2011,May,The Social Cost of Near-Rational Investment,"['Tarek Alexander Hassan', 'Thomas M Mertens']"
17028,2011,May,Limited and Varying Consumer Attention: Evidence from Shocks to the Salience of Bank Overdraft Fees,"['Jonathan Zinman', 'Victor Stango']"
17029,2011,May,An Exploration of Optimal Stabilization Policy,"['Matthew C Weinzierl', 'N Gregory Mankiw']"
17030,2011,May,Heuristic Thinking and Limited Attention in the Car Market,"['Devin G Pope', 'Justin R Sydnor', 'Nicola Lacetera']"
17031,2011,May,"Individual Preferences, Organization, and Competition in a Model of R&D Incentive Provision","['Lorenzo Zirulia', 'Nicola Lacetera']"
17032,2011,May,The Hired Gun Mechanism,"['James Andreoni', 'Laura K Gee']"
17033,2011,May,Gun For Hire: Does Delegated Enforcement Crowd out Peer Punishment in Giving to Public Goods?,"['James Andreoni', 'Laura K Gee']"
17034,2011,May,Are the Effects of Monetary Policy Shocks Big or Small?,['Olivier Coibion']
17035,2011,May,Optimal Taxation with Rent-Seeking,"['Casey Rothschild', 'Florian Scheuer']"
17036,2011,May,Does Accuracy Improve the Information Value of Trials?,"['Anup Malani', 'Scott A Baker']"
17037,2011,May,Dynamics and Stagnation in the Malthusian Epoch,"['Oded Galor', 'Quamrul H Ashraf']"
17038,2011,May,This Time Is the Same: Using Bank Performance in 1998 to Explain Bank Performance During the Recent Financial Crisis,"['Rene M Stulz', 'Robert Prilmeier', 'Rudiger Fahlenbrach']"
17039,2011,May,Estimating and Testing Models with Many Treatment Levels and Limited Instruments,"['Enrico Moretti', 'Lance J Lochner']"
17040,2011,May,"Job Loss in the Great Recession: Historical Perspective from the Displaced Workers Survey, 1984-2010",['Henry S Farber']
17041,2011,May,What Do Small Businesses Do?,"['Benjamin Wild Pugsley', 'Erik G Hurst']"
17042,2011,May,An Assessment of the Effectiveness of Anti-Poverty Programs in the United States,"['John Karl Scholz', 'Robert A Moffitt', 'Yonatan Ben-Shalom']"
17043,2011,May,Incentives and the Effects of Publication Lags on Life Cycle Research Productivity in Economics,"['Ali Sina Onder', 'John P Conley', 'Mario J Crucini', 'Robert A Driskill']"
17044,2011,May,Inflation Dynamics and the Great Recession,"['Laurence M Ball', 'Sandeep Mazumder']"
17045,2011,May,Land-price dynamics and macroeconomic fluctuations,"['Pengfei Wang', 'Tao Zha', 'Zheng Liu']"
17046,2011,May,Pharmaceutical Use Following Generic Entry: Paying Less and Buying Less,"['Christopher R Knittel', 'Peter J Huckfeldt']"
17047,2011,May,The Role of Theory in Field Experiments,"['David Card', 'Stefano DellaVigna', 'Ulrike Malmendier']"
17048,2011,May,"Health, Disability and Pathways to Retirement in Spain","['Judit Vall Castello', 'Pilar Garcia-Gomez', 'Sergi Jimenez-Martin']"
17049,2011,May,"Disability, Health and Retirement in the United Kingdom","['Antoine Bozio', 'Carl Emmerson', 'James Banks', 'Richard Blundell']"
17050,2011,May,Show Me the Right Stuff: Signals for High Tech Startups,"['Annamaria Conti', 'Frank Rothaermel', 'Marie C Thursby']"
17051,2011,May,Coercive Contract Enforcement: Law and the Labor Market in 19th Century Industrial Britain,"['Noam Yuchtman', 'Suresh Naidu']"
17052,2011,May,Disability Pension Program and Labor Force Participation in Japan: A Historical Perspective,"['Satoshi Shimizutani', 'Takashi Oshio']"
17053,2011,May,Disability Insurance and Labor Market Exit Routes of Older Workers in The Netherlands,"['Adriaan Kalwij', 'Arie Kapteyn', 'Klaas de Vos']"
17054,2011,May,"Disability Insurance, Population Health and Employment in Sweden","['Ingemar Svensson', 'Lisa Jonsson', 'Marten Palme']"
17055,2011,May,Disability and Social Security Reforms: The French Case,"['Didier Blanchet', 'Luc Behaghel', 'Muriel Roger', 'Thierry Debrand']"
17056,2011,May,Money and Happiness: Evidence from the Industry Wage Structure,['Jorn-Steffen Pischke']
17057,2011,May,The Demographic Transition: Causes and Consequences,['Oded Galor']
17058,2011,May,"Inequality, Human Capital Formation and the Process of Development",['Oded Galor']
17059,2011,May,Theft and Deterrence,"['Michael S Visser', 'Naci H Mocan', 'William T Harbaugh']"
17060,2011,May,"Decentralization, Communication, and the Origins of Fluctuations","['George-Marios Angeletos', ""Jennifer La'O""]"
17061,2011,May,Are the Seeds of Bad Governance Sown in Good Times?,"['Antoinetter Schoar', 'Ebonya L Washington']"
17062,2011,May,Mechanism Experiments and Policy Evaluations,"['Jeffrey R Kling', 'Jens Ludwig', 'Sendhil Mullainathan']"
17063,2011,May,Confidence and the Transmission of Government Spending Shocks,"['Eric R Sims', 'Ruediger Bachmann']"
17064,2011,May,"Recursive Contracts, Lotteries and Weakly Concave Pareto Sets","['Felix Kubler', 'Harold L Cole']"
17065,2011,May,Mortgage Modification and Strategic Behavior: Evidence from a Legal Settlement with Countrywide,"['Arpit Gupta', 'Christopher J Mayer', 'Edward Morrison', 'Tomasz Piskorski']"
17066,2011,May,"History, Expectations, and Leadership in the Evolution of Social Norms","['Daron Acemoglu', 'Matthew O Jackson']"
17067,2011,May,Goods Prices and Availability in Cities,"['David E Weinstein', 'Jessie Handbury']"
17068,2011,May,Isolating the Effect of Major Depression on Obesity: Role of Selection Bias,"['Dhaval M Dave', 'Gregory J Colman', 'Jennifer Tennant']"
17069,2011,May,Income-Based Disparities in Health Care Utilization under Universal Coverage in Brazil,"['Charles J Courtemanche', 'Guido Cataife']"
17070,2011,May,The Doctor Might See You Now: The Supply Side Effects of Public Health Insurance Expansions,['Craig L Garthwaite']
17071,2011,May,Is there a trade-off between inflation and output stabilization?,"['Alejandro Justiniano', 'Andrea Tambalotti', 'Giorgio E Primiceri']"
17072,2011,May,Financially Fragile Households: Evidence and Implications,"['Annamaria Lusardi', 'Daniel J Schneider', 'Peter Tufano']"
17073,2011,May,Financial Protectionism: the First Tests,"['Andrew K Rose', 'Tomasz Wieladek']"
17074,2011,May,Exchange Rates in Emerging Countries: Eleven Empirical Regularities from Latin America and East Asia,['Sebastian Edwards']
17075,2011,May,Evolution and the Growth Process: Natural Selection of Entrepreneurial Traits,"['Oded Galor', 'Stelios Michalopoulos']"
17076,2011,May,A Fistful of Dollars: Lobbying and the Financial Crisis,"['Deniz Igan', 'Prachi Mishra', 'Thierry Tressel']"
17077,2011,May,The Outlook for Financial Literacy,"['Annamaria Lusardi', 'Olivia S Mitchell']"
17078,2011,May,Financial Literacy and Planning: Implications for Retirement Wellbeing,"['Annamaria Lusardi', 'Olivia S Mitchell']"
17079,2011,May,"Disability, Pension Reform and Early Retirement in Germany","['Axel H Boersch-Supan', 'Hendrik Juerges']"
17080,2011,May,Monetary Policy Mistakes and the Evolution of Inflation Expectations,"['Athanasios Orphanides', 'John C Williams']"
17081,2011,May,The Economics of Risky Health Behaviors,"['Christopher J Ruhm', 'John Cawley']"
17082,2011,May,Funding in Public Sector Pension Plans - International Evidence,"['Clara Severinson', 'Eduard Ponds', 'Juan Yermo']"
17083,2011,May,Optimal Policy Instruments for Externality-Producing Durable Goods Under Time Inconsistency,['Garth Heutel']
17084,2011,May,Unemployment in an Estimated New Keynesian Model,"['Frank Smets', 'Jordi Gali', 'Rafael Wouters']"
17085,2011,May,The Long-Run Impacts of Early Childhood Education: Evidence From a Failed Policy Experiment,"['Justin D Smith', 'Philip DeCicca']"
17086,2011,May,Intermittency and the Value of Renewable Energy,"['Gautam Gowrisankaran', 'Mario Samano', 'Stanley S Reynolds']"
17087,2011,May,Distributional Impacts of Carbon Pricing: A General Equilibrium Approach with Micro-Data for Households,"['Gilbert E Metcalf', 'John M Reilly', 'Sebastian Rausch']"
17088,2011,May,Peer Effects and Multiple Equilibria in the Risky Behavior of Friends,"['David Card', 'Laura Giuliano']"
17089,2011,May,Is Gifted Education a Bright Idea? Assessing the Impact of Gifted and Talented Programs on Achievement,"['Sa A Bui', 'Scott A Imberman', 'Steven G Craig']"
17090,2011,May,Macroeconomic Regimes,"['Antonio Moreno', 'Geert Bekaert', 'Koen Inghelbrecht', 'Lieven Baele', 'Seonghoon Cho']"
17091,2011,May,Poultry in Motion: A Study of International Trade Finance Practices,"['C Fritz Foley', 'Pol Antras']"
17092,2011,May,"Incorporating Climate Uncertainty into Estimates of Climate Change Impacts, with Applications to U.S. and African Agriculture","['David Lobell', 'Edward Miguel', 'John Dykema', 'Marshall Burke', 'Shanker Satyanath']"
17093,2011,May,How Responsive is Investment in Schooling to Changes in Redistribution Policies and in Returns,"['Ran Abramitzky', 'Victor Lavy']"
17094,2011,May,Life and Growth,['Charles I Jones']
17095,2011,May,Empirical Implementation of Nonparametric First-Price Auction Models,"['Christopher F Parmeter', 'Daniel J Henderson', 'Daniel L Millimet', 'John A List', 'Michael K Price']"
17096,2011,May,Childhood Health and Differences in Late-Life Health Outcomes Between England and the United States,"['James Banks', 'James P Smith', 'Zoe Oldfield']"
17097,2011,May,Racial Differences in Inequality Aversion: Evidence from Real World Respondents in the Ultimatum Game,"['Abigail K Wozniak', 'David Nickerson', 'John D Griffin']"
17098,2011,May,On the Origins of Gender Roles: Women and the Plough,"['Alberto F Alesina', 'Nathan Nunn', 'Paola Giuliano']"
17099,2011,May,Do Majority Black Districts Limit Blacks' Representation? The Case of the 1990 Redistricting,['Ebonya L Washington']
17100,2011,May,International Business Travel: An Engine of Innovation?,"['Nune Hovhannisyan', 'Wolfgang Keller']"
17101,2011,June,Estimating Ricardian Models With Panel Data,"['Emanuele Massetti', 'Robert Mendelsohn']"
17102,2011,June,"Banks, Market Organization, and Macroeconomic Performance: An Agent-Based Computational Analysis","['Boris Gershman', 'Peter Howitt', 'Quamrul H Ashraf']"
17103,2011,June,Americans' Financial Capability,['Annamaria Lusardi']
17104,2011,June,Children Left Behind: The Effects of Statewide Job Loss on Student Achievement,"['Anna Gassman-Pines', 'Christina M Gibson-Davis', 'Dania V Francis', 'Elizabeth Oltmans Ananat']"
17105,2011,June,Maternity Leave and Children's Cognitive and Behavioral Development,"['Kevin S Milligan', 'Michael Baker']"
17106,2011,June,Institutional Comparative Statics,"['James C Robinson', 'Ragnar Torvik']"
17107,2011,June,Financial Literacy around the World: An Overview,"['Annamaria Lusardi', 'Olivia S Mitchell']"
17108,2011,June,Financial Literacy and Retirement Planning in the United States,"['Annamaria Lusardi', 'Olivia S Mitchell']"
17109,2011,June,"Financial Literacy, Retirement Preparation and Pension Expectations in the Netherlands","['Annamaria Lusardi', 'Maarten van Rooij', 'Rob J Alessie']"
17110,2011,June,Financial Literacy and Retirement Planning in Germany,"['Annamaria Lusardi', 'Tabea Bucher-Koenen']"
17111,2011,June,Fiscal Stimulus and Distortionary Taxation,"['Harald Uhlig', 'Thorsten Drautzburg']"
17112,2011,June,High-School Exit Examinations and the Schooling Decisions of Teenagers: A Multi-Dimensional Regression-Discontinuity Analysis,"['John B Willett', 'John P Papay', 'Richard J Murnane']"
17113,2011,June,Persecution Perpetuated: The Medieval Origins of Anti-Semitic Violence in Nazi Germany,"['Hans-Joachim Voth', 'Nico Voigtlaender']"
17114,2011,June,Disability in Belgium: There is More than Meets the Eye,"['Alain Jousten', 'Mathieu Lefebvre', 'Sergio Perelman']"
17115,2011,June,A Model of Shadow Banking,"['Andrei Shleifer', 'Nicola Gennaioli', 'Robert W Vishny']"
17116,2011,June,"The Real Exchange Rate, Real Interest Rates, and the Risk Premium",['Charles Engel']
17117,2011,June,Trade and the Greenhouse Gas Emissions from International Freight Transport,"['Anca D Cristea', 'David L Hummels', 'Laura Puzzello', 'Misak G Avetisyan']"
17118,2011,June,The Availability and Utilization of 401(k) Loans,"['Brigitte C Madrian', 'David I Laibson', 'James J Choi', 'John Beshears']"
17119,2011,June,Improving College Performance and Retention the Easy Way: Unpacking the ACT Exam,"['Brent J Evans', 'Devin G Pope', 'Eric P Bettinger']"
17120,2011,June,How Performance Information Affects Human-Capital Investment Decisions: The Impact of Test-Score Labels on Educational Outcomes,"['John B Willett', 'John P Papay', 'Richard J Murnane']"
17121,2011,June,Global Crises and Equity Market Contagion,"['Arnaud J Mehl', 'Geert Bekaert', 'Marcel Fratzscher', 'Michael Ehrmann']"
17122,2011,June,Local Overweighting and Underperformance: Evidence from Limited Partner Private Equity Investments,"['Joshua D Rauh', 'Yael V Hochberg']"
17123,2011,June,Irving Fisher and Price-Level Targeting in Austria: Was Silver the Answer?,"['Kris James Mitchener', 'Marc D Weidenmier', 'Richard C K Burdekin']"
17124,2011,June,Privacy and Innovation,"['Avi Goldfarb', 'Catherine Tucker']"
17125,2011,June,The Effect of Prospective Payment on Admission and Treatment Policy: Evidence from Inpatient Rehabilitation Facilities,"['David C Grabowski', 'Jose J Escarce', 'Joseph P Newhouse', 'Neeraj Sood', 'Peter J Huckfeldt']"
17126,2011,June,Price Setting in a Leading Swiss Online Supermarket,"['Martin Berka', 'Michael B Devereux', 'Thomas Rudolph']"
17127,2011,June,Staggered Boards and the Wealth of Shareholders: Evidence from Two Natural Experiments,"['Alma Cohen', 'Charles C Y Wang', 'Lucian Arye Bebchuk']"
17128,2011,June,The Financial Crisis and the Well-Being of Americans,['Angus S Deaton']
17129,2011,June,Mobile Banking: The Impact of M-Pesa in Kenya,"['David N Weil', 'Isaac Mbiti']"
17130,2011,June,An Estimation of Economic Models with Recursive Preferences,"['Jack Favilukis', 'Sydney C Ludvigson', 'Xiaohong Chen']"
17131,2011,June,Sharing the Burden: Monetary and Fiscal Responses to a World Liquidity Trap,"['David Cook', 'Michael B Devereux']"
17132,2011,June,"Income, Democracy, and the Cunning of Reason",['Daniel S Treisman']
17133,2011,June,"Risk, Monetary Policy and the Exchange Rate","['Gianluca Benigno', 'Pierpaolo Benigno', 'Salvatore Nistico']"
17134,2011,June,"Lifecycle Impacts of the Financial and Economic Crisis on Household Optimal Consumption, Portfolio Choice, and Labor Supply","['Jingjing Chai', 'Olivia S Mitchell', 'Raimond H Maurer', 'Ralph Rogalla']"
17135,2011,June,"Time for Children: Trends in the Employment Patterns of Parents, 1967-2009","['Christopher J Ruhm', 'Jane Waldfogel', 'Liana E Fox', 'Wen-Jui Han']"
17136,2011,June,A Pyrrhic Victory? - Bank Bailouts and Sovereign Credit Risk,"['Itamar Drechsler', 'Philipp Schnabl', 'Viral V Acharya']"
17137,2011,June,"Animal Spirits, Financial Crises and Persistent Unemployment",['Roger E A Farmer']
17138,2011,June,"Disability Programs, Health and Retirement in Denmark since 1960","['Nabanita Datta Gupta', 'Paul Bingley', 'Peder J Pedersen']"
17139,2011,June,"Immigration, Jobs and Employment Protection: Evidence from Europe","[""Francesco D'Amuri"", 'Giovanni Peri']"
17140,2011,June,Inference for VARs Identified with Sign Restrictions,"['Eleonora Granziera', 'Frank Schorfheide', 'Hyungsik Roger Moon', 'Mihye Lee']"
17141,2011,June,Surviving the Global Financial Crisis: Foreign Ownership and Establishment Performance,"['Laura Alfaro', 'Maggie X Chen']"
17142,2011,June,"Government Policy, Credit Markets and Economic Activity","['Daisuke Ikeda', 'Lawrence J Christiano']"
17143,2011,June,"Globalization, Structural Change and Productivity Growth","['Dani Rodrik', 'Margaret S McMillan']"
17144,2011,June,Financing Labor,"['Amit Seru', 'Efraim Benmelech', 'Nittai K Bergman']"
17145,2011,June,"Property Taxation, Zoning, and Efficiency: A Dynamic Analysis",['Stephen Coate']
17146,2011,June,Trade Credit Contracts,"['Leora F Klapper', 'Luc Laeven', 'Raghuram G Rajan']"
17147,2011,June,"Democratic Dividends: Stockholding, Wealth and Politics in New York, 1791-1826","['Eric Hilt', 'Jacqueline Valentine']"
17148,2011,June,Dimensions of Health in the Elderly Population,"['David M Cutler', 'Mary Beth Landrum']"
17149,2011,June,Too-Systemic-To-Fail: What Option Markets Imply About Sector-wide Government Guarantees,"['Bryan T Kelly', 'Hanno Lustig', 'Stijn Van Nieuwerburgh']"
17150,2011,June,Performance Evaluation of Zero Net-Investment Strategies,"['Alan M Taylor', 'Oscar Jorda']"
17151,2011,June,A General Equilibrium Model of Sovereign Default and Business Cycles,"['Enrique G Mendoza', 'Vivian Z Yue']"
17152,2011,June,A Functional Filtering and Neighborhood Truncation Approach to Integrated Quarticity Estimation,"['Dobrislav Dobrev', 'Ernst Schaumburg', 'Torben G Andersen']"
17153,2011,June,Self Reported Disability and Reference Groups,"['Arie Kapteyn', 'Arthur van Soest', 'James P Smith', 'Tatiana Andreyeva']"
17154,2011,June,What does Monetary Policy do to Long-Term Interest Rates at the Zero Lower Bound?,['Jonathan H Wright']
17155,2011,June,Federal Aid and Equality of Educational Opportunity: Evidence from the Introduction of Title I in the South,"['Elizabeth U Cascio', 'Nora E Gordon', 'Sarah J Reber']"
17156,2011,June,Studying Discrimination: Fundamental Challenges and Recent Progress,"['Jonathan Guryan', 'Kerwin Kofi Charles']"
17157,2011,June,"Income Inequality and Early Non-Marital Childbearing: An Economic Exploration of the ""Culture of Despair""","['Melissa Schettini Kearney', 'Phillip B Levine']"
17158,2011,June,Human Capital and Regional Development,"['Andrei Shleifer', 'Florencio Lopez-de-Silanes', 'Nicola Gennaioli', 'Rafael La Porta Drago']"
17159,2011,June,Estimating the Return to College Selectivity over the Career Using Administrative Earnings Data,"['Alan B Krueger', 'Stacy Dale']"
17160,2011,June,Smoking Policies and Birth Outcomes: Estimates From a New Era,"['E Kathleen Adams', 'Patricia M Dietz', 'Sara Markowitz', 'Van Tong', 'Viji Kannan']"
17161,2011,June,"Cognitive Disparities, Lead Plumbing, and Water Chemistry: Intelligence Test Scores and Exposure to Water-Borne Lead Among World War Two U.S. Army Enlistees","['Joseph P Ferrie', 'Karen Rolf', 'Werner Troesken']"
17162,2011,June,Side Effects of Competition: the Role of Advertising and Promotion in Pharmaceutical Markets,"['Guy David', 'Sara Markowitz']"
17163,2011,June,A Testable Theory of Imperfect Perception,"['Andrew C Caplin', 'Daniel J Martin']"
17164,2011,June,"A ""Second Opinion"" on the Economic Health of the American Middle Class","['Jeff Larrimore', 'Kosali Ilayperuma Simon', 'Richard V Burkhauser']"
17165,2011,June,Residential Rivalry and Constraints on the Availability of Child Labor,"['Eric V Edmonds', 'Richard Akresh']"
17166,2011,June,How Do Mortgage Subsidies Affect Home Ownership? Evidence from the Mid-century GI Bills,['Daniel K Fetter']
17167,2011,June,The Incidence of Local Labor Demand Shocks,['Matthew J Notowidigdo']
17168,2011,June,The Impacts of the Affordable Care Act: How Reasonable Are the Projections?,['Jonathan Gruber']
17169,2011,June,Does Financial Constraint Affect Shareholder Taxes and the Cost of Equity Capital?,"['Chongyang Chen', 'Douglas A Shackelford', 'Harold H Zhang', 'Zhonglan Dai']"
17170,2011,June,Pounds that Kill: The External Costs of Vehicle Weight,"['Maximilian Auffhammer', 'Michael L Anderson']"
17171,2011,June,"Committee Jurisdiction, Congressional Behavior and Policy Outcomes",['John M de Figueiredo']
17172,2011,June,Leveraging Monopoly Power by Degrading Interoperability: Theory and Evidence from Computer Markets,"['Christos Genakos', 'John van Reenen', 'Kai-Uwe Kuhn']"
17173,2011,June,Should Unemployment Insurance Vary With the Unemployment Rate? Theory and Evidence,"['Kory Kroft', 'Matthew J Notowidigdo']"
17174,2011,June,"Pharmaceutical Pricing in Emerging Markets: Effects of Income, Competition and Procurement","['Adrian K Towse', 'Andrew W Mulcahy', 'Patricia M Danzon']"
17175,2011,June,Productivity Volatility and the Misallocation of Resources in Developing Economies,"['Allan Collard-Wexler', 'Jan De Loecker', 'John Asker']"
17176,2011,June,How Teacher Turnover Harms Student Achievement,"['Hamilton Lankford', 'James Wyckoff', 'Matthew Ronfeldt', 'Susanna Loeb']"
17177,2011,June,"Effective Schools: Teacher Hiring, Assignment, Development, and Retention","['Demetra Kalogrides', 'Susanna Loeb', 'Tara Beteille']"
17178,2011,June,Innovation and Productivity,['Bronwyn H Hall']
17179,2011,June,Clashing Theories of Unemployment,['Robert E Hall']
17180,2011,July,Weekends and Subjective Well-Being,"['John F Helliwell', 'Shun Wang']"
17181,2011,June,"Business Partners, Financing, and the Commercialization of Inventions","['Carlos J Serrano', 'Thomas Astebro']"
17182,2011,June,Regime Changes and Financial Markets,"['Allan Timmermann', 'Andrew Ang']"
17183,2011,June,Using Implementation Intentions Prompts to Enhance Influenza Vaccination Rates,"['Brigitte C Madrian', 'David I Laibson', 'James J Choi', 'John Beshears', 'Katherine L Milkman']"
17184,2011,June,Divide and Rule or the Rule of the Divided? Evidence from Africa,"['Elias Papaioannou', 'Stelios Michalopoulos']"
17185,2011,June,Improving Reading Skills by Encouraging Children to Read in School: A Randomized Evaluation of the Sa Aklat Sisikat Reading Program in the Philippines,"['Ama Baafra Abeberese', 'Leigh L Linden', 'Todd J Kumler']"
17186,2011,June,The Economic Impact of Social Ties: Evidence from German Reunification,"['Konrad B Burchardi', 'Tarek Alexander Hassan']"
17187,2011,June,What Explains the German Labor Market Miracle in the Great Recession?,"['Jennifer Hunt', 'Michael C Burda']"
